Nama pembeli,Tanggal pembelian,Review,Column 4,Rating,Sentimen
,2023-11-30 03:28 | Variasi: 1 Bulan,"So far cs fast respond, selalu ganti2 akun tapi its okay, mungkin karena demand nya tinggi. Yang penting selalu dibalas tiap perlu hehe, semangat admin 0:055","n*****72023-11-30 03:28 | Variasi: 1 BulanSo far cs fast respond, selalu ganti2 akun tapi its okay, mungkin karena demand nya tinggi. Yang penting selalu dibalas tiap perlu hehe, semangat admin 0:0553Laporkan Penyalahgunaan",5,Positif
pejuang_27,2024-08-17 15:03 | Variasi: 1 Bulan,Barang aslim original. Tidak tipu tipu. Cara menggunakan nya mudah tidak ribet. Lain daring lain. Barang diterima dengan baik dan sempurna cepat dan berkualitas tinggi sesuai dengan ekspektasi dan harganya murah 0:0,pejuang_272024-08-17 15:03 | Variasi: 1 BulanBarang aslim original. Tidak tipu tipu. Cara menggunakan nya mudah tidak ribet. Lain daring lain. Barang diterima dengan baik dan sempurna cepat dan berkualitas tinggi sesuai dengan ekspektasi dan harganya murah 0:04Membantu?Laporkan Penyalahgunaan,5,Positif
paoir,2024-09-09 08:48 | Variasi: 3 Bulan,"Fungsi: mencari infoDesain: okPenggunaan: oksesuai dengan deskripsi toko. garansi oke. pemakaian mudah, pesan langsung dapat digunakan. best 0:07","paoir2024-09-09 08:48 | Variasi: 3 BulanFungsi: mencari infoDesain: okPenggunaan: oksesuai dengan deskripsi toko. garansi oke. pemakaian mudah, pesan langsung dapat digunakan. best 0:071Laporkan Penyalahgunaan",5,Positif
,2024-09-04 03:58 | Variasi: 1 Bulan,Fungsi: membantu meringkas pekerjaanDesain: keren dan mudahPenggunaan: sangat membantuTerbaik!! Tak pernah kecewa sama seller..udah berkali-kali order di sini dan selalu fast respond 🫶🏻👍🏻👍🏻👍🏻👍🏻 0:0,k*****m2024-09-04 03:58 | Variasi: 1 BulanFungsi: membantu meringkas pekerjaanDesain: keren dan mudahPenggunaan: sangat membantuTerbaik!! Tak pernah kecewa sama seller..udah berkali-kali order di sini dan selalu fast respond 🫶🏻👍🏻👍🏻👍🏻👍🏻 0:04Membantu?Laporkan Penyalahgunaan,5,Positif
,2023-06-10 14:50 | Variasi: 1 Bulan,"Fitur Terbaik: ramah amanah membantuSepadan dengan Harga: lumayan lah ini akun shared jadi lumayan banyak yang make jadi kadang tarik menarik kalo pas kebetulan yang make gk satu.Pengiriman cepat, seller ramah ,amanah dan membantu juga sesuai deskripsi, thanks seller semoga berkah 🙂🙏","u*****e2023-06-10 14:50 | Variasi: 1 BulanFitur Terbaik: ramah amanah membantuSepadan dengan Harga: lumayan lah ini akun shared jadi lumayan banyak yang make jadi kadang tarik menarik kalo pas kebetulan yang make gk satu.Pengiriman cepat, seller ramah ,amanah dan membantu juga sesuai deskripsi, thanks seller semoga berkah 🙂🙏7Laporkan Penyalahgunaan",5,Positif
,2023-06-12 16:21 | Variasi: 1 Bulan,Fitur Terbaik: fitur sharing jadi mohon bersabar tapi kualitas bagusKenapa aku selalu beli pro? Bedanya banyak bgt lebih cepet. Dan kalau jelasin lebih nyambung. Bisa belajar lewat chat gpt ini. Untuk chat gpt 4 keren fiturnya I love it. Even if it was only 25 chat in 3 hours yg mana sangat kuranggg22,n*****a2023-06-12 16:21 | Variasi: 1 BulanFitur Terbaik: fitur sharing jadi mohon bersabar tapi kualitas bagusKenapa aku selalu beli pro? Bedanya banyak bgt lebih cepet. Dan kalau jelasin lebih nyambung. Bisa belajar lewat chat gpt ini. Untuk chat gpt 4 keren fiturnya I love it. Even if it was only 25 chat in 3 hours yg mana sangat kuranggg228Laporkan Penyalahgunaan,5,Positif
edpra98,2023-05-13 05:53 | Variasi: 3 Bulan,"Fitur Terbaik: respon yang cepat untuk chatgptnyaSepadan dengan Harga: harga dan fitur sama-sama bagusYang mau order, jangan ragu...  Admin respon cepet, dan akun yang di kasih 100% bisa di gunanya.  Yang mau order jangan ragu lagi, langsung pesan.","edpra982023-05-13 05:53 | Variasi: 3 BulanFitur Terbaik: respon yang cepat untuk chatgptnyaSepadan dengan Harga: harga dan fitur sama-sama bagusYang mau order, jangan ragu...  Admin respon cepet, dan akun yang di kasih 100% bisa di gunanya.  Yang mau order jangan ragu lagi, langsung pesan.3Laporkan Penyalahgunaan",5,Positif
,2023-07-13 15:23 | Variasi: 1 Bulan,"Sepadan dengan Harga: sangat murahFitur Terbaik: harga sangat murahTerimakasih, mohon maaf baru bisa review karena baru saya pasang, akun sudah aktif dan terbaik dapat akun premium.","z*****y2023-07-13 15:23 | Variasi: 1 BulanSepadan dengan Harga: sangat murahFitur Terbaik: harga sangat murahTerimakasih, mohon maaf baru bisa review karena baru saya pasang, akun sudah aktif dan terbaik dapat akun premium.4Laporkan Penyalahgunaan",5,Positif
,2023-07-22 06:19 | Variasi: 3 Bulan,"Sepadan dengan Harga: manfaatnya jauh diatas hargaFitur Terbaik: interaktif, informatik & cantikAplikasi PC yg sangat membantu memenuhi kebutuhan berbagai informasi. Seller gercep, ramah dan tuntas dlm melayani konsumen. RECOMENDED!3","a*****n2023-07-22 06:19 | Variasi: 3 BulanSepadan dengan Harga: manfaatnya jauh diatas hargaFitur Terbaik: interaktif, informatik & cantikAplikasi PC yg sangat membantu memenuhi kebutuhan berbagai informasi. Seller gercep, ramah dan tuntas dlm melayani konsumen. RECOMENDED!38Laporkan Penyalahgunaan",5,Positif
aibrainbox,2023-05-12 07:06 | Variasi: 1 Bulan,"Sepadan dengan Harga: sangat reliable, worthed dan murahFitur Terbaik: gpt 4 dengan after sales yang TOPfast respon chat, setiap ada trouble terselesaikan dengan cepat Ana In Syaa Allah langganan permanen","aibrainbox2023-05-12 07:06 | Variasi: 1 BulanSepadan dengan Harga: sangat reliable, worthed dan murahFitur Terbaik: gpt 4 dengan after sales yang TOPfast respon chat, setiap ada trouble terselesaikan dengan cepat Ana In Syaa Allah langganan permanen3Laporkan Penyalahgunaan",5,Positif
vimitel_88,2023-06-03 19:28 | Variasi: Lifetime,Sepadan dengan Harga: Fitur chat gpt 4 dan adminnya sangat responsif dan ramahFitur Terbaik: Chat gpt 4 jawabanya masuk akal dan lebih kerenKekuranganya karna akun sharing ada batas chatnya tapi gak masalah sih2,vimitel_882023-06-03 19:28 | Variasi: LifetimeSepadan dengan Harga: Fitur chat gpt 4 dan adminnya sangat responsif dan ramahFitur Terbaik: Chat gpt 4 jawabanya masuk akal dan lebih kerenKekuranganya karna akun sharing ada batas chatnya tapi gak masalah sih23Laporkan Penyalahgunaan,5,Positif
mc_2502,2024-08-24 14:36 | Variasi: 1 Bulan,Fungsi: baikDesain: modernPenggunaan: sangat membantuTerma kasih! Pelayanan bagus dan kualitas bagus. Next time saya akan repeat order. Terima kasih juga kepada ekspedisi dan kurir yang telah antar paket saya..,mc_25022024-08-24 14:36 | Variasi: 1 BulanFungsi: baikDesain: modernPenggunaan: sangat membantuTerma kasih! Pelayanan bagus dan kualitas bagus. Next time saya akan repeat order. Terima kasih juga kepada ekspedisi dan kurir yang telah antar paket saya..Membantu?Laporkan Penyalahgunaan,5,Positif
sellav01,2024-06-02 22:18 | Variasi: 1 Bulan,"Fungsi: bagusDesain: bagusPenggunaan: bagusso far bagus seller jg bisa di ajak komunikasi meskipun ada sempat miss aplikasi, udah sering beli l0kl0k disini ini jg ch4tgpt beli ke 2x trusted","sellav012024-06-02 22:18 | Variasi: 1 BulanFungsi: bagusDesain: bagusPenggunaan: bagusso far bagus seller jg bisa di ajak komunikasi meskipun ada sempat miss aplikasi, udah sering beli l0kl0k disini ini jg ch4tgpt beli ke 2x trustedMembantu?Laporkan Penyalahgunaan",5,Positif
whysclouvly,2024-09-19 07:11 | Variasi: 1 Bulan,"Fungsi: goodDesain: goodPenggunaan: good""hahaha, i think the same too, but my mom is too old to take to the concert with.""  Tap on a clip to paste it in the text box.Welcome to Gboard clipboard, any text you copy will be saved here.Touch and hold a clip to pin it. Unpinned clips will be deleted after 1 hour.Use the edit icon to pin, add or delete clips.","whysclouvly2024-09-19 07:11 | Variasi: 1 BulanFungsi: goodDesain: goodPenggunaan: good""hahaha, i think the same too, but my mom is too old to take to the concert with.""  Tap on a clip to paste it in the text box.Welcome to Gboard clipboard, any text you copy will be saved here.Touch and hold a clip to pin it. Unpinned clips will be deleted after 1 hour.Use the edit icon to pin, add or delete clips.1Laporkan Penyalahgunaan",5,Positif
